362	476	300	69	393
19	123	531	621	707
934	239	631	756	232
702	739	579	697	209
398	557	447	2	781
826	683	281	178	906
766	564	374	539	290
133	579	706	17	610
201	503	692	87	722
839	534	343	580	659
840	660	56	905	321
239	371	143	224	265
406	669	324	369	313
991	695	434	475	588
829	759	451	705	299
316	515	708	615	445
969	281	179	716	129
578	542	474	416	569
460	673	173	556	385
76	453	464	575	46
593	210	169	699	844
390	862	934	300	110
60	425	840	772	807
744	149	70	58	546
593	922	860	797	825
537	817	779	109	233
77	927	538	693	596
783	342	307	112	423
661	623	418	271	333
327	647	134	642	209
733	576	292	524	760
908	229	918	375	647
509	525	136	477	687
280	578	357	628	884
401	5	225	116	307
845	972	305	730	128
103	149	817	134	314
465	974	159	449	832
1	115	287	31	809
680	976	516	348	202
401	681	609	164	775
261	273	799	614	820
417	51	214	563	962
100	652	944	414	737
626	505	982	736	324
398	942	690	97	912
916	2	608	653	907
881	832	80	641	40
30	920	892	972	539
274	147	661	502	650
384	679	14	776	518
751	170	164	334	837
29	693	501	126	686
107	717	206	839	152
878	588	993	581	615
113	613	193	895	655
535	759	555	623	281
491	650	671	881	51
585	674	626	816	173
373	182	972	660	735
449	700	319	28	81
11	664	652	472	285
894	323	565	24	551
999	207	878	592	609
407	199	613	535	494
98	648	926	752	155
798	540	239	636	628
597	937	998	655	216
57	590	420	568	275
112	384	527	302	964
893	411	339	167	508
905	501	749	604	167
269	539	837	863	31
888	617	679	444	361
983	415	506	795	107
519	308	208	908	117
563	681	317	739	228
168	835	859	527	128
18	495	535	440	141
169	132	615	351	898
60	205	973	732	463
290	381	837	729	405
945	993	632	610	84
431	238	593	820	275
869	4	259	669	407
577	376	128	831	916
297	206	650	179	303
195	770	337	371	160
21	726	369	801	359
272	471	257	496	414
888	756	711	289	895
749	265	449	469	362
668	994	835	85	170
159	255	906	967	439
650	89	837	929	884
693	70	932	380	371
433	48	378	852	660
717	741	882	451	787
93	751	818	315	652
505	17	508	221	74
300	484	444	50	655
765	826	821	67	150
964	213	535	58	592
453	736	583	1000	664
953	99	933	896	544
162	224	983	3	494
845	652	208	552	950
