44	63	81	18
57	16	86	6
98	79	37	54
26	58	52	5
36	14	36	49
92	20	97	3
48	3	97	9
18	9	72	92
68	3	47	24
1	37	1	3
36	24	13	30
10	18	66	95
88	69	56	19
76	21	30	1
42	13	49	24
52	78	44	48
65	69	26	9
20	48	2	99
69	83	22	77
50	38	10	88
21	9	100	10
79	13	58	55
22	16	66	94
64	99	6	61
82	43	78	58
46	84	96	28
41	26	56	51
90	11	99	2
53	18	97	49
32	92	99	86
17	16	83	45
54	63	5	11
44	33	100	41
68	88	3	88
49	42	85	100
56	55	63	19
38	85	10	49
62	88	62	63
92	7	68	68
85	4	84	43
86	100	36	82
90	94	42	65
91	24	78	43
39	58	43	36
59	44	12	91
75	32	93	8
96	39	75	88
75	62	10	98
52	6	85	33
7	56	28	94
59	59	34	18
98	27	35	86
14	12	27	54
8	87	55	35
98	1	77	68
73	9	78	36
66	72	15	56
39	100	17	38
42	31	75	94
39	8	72	92
51	14	63	93
7	46	26	27
28	43	58	48
72	65	46	64
73	61	99	18
52	43	31	68
41	56	76	50
78	11	13	4
19	43	7	3
85	7	55	94
16	79	99	72
22	71	60	48
87	64	64	34
82	100	54	2
58	52	82	58
2	61	77	58
31	94	81	100
25	83	40	38
37	24	96	77
77	82	39	96
33	10	59	14
70	7	23	17
37	92	97	42
77	10	31	3
20	40	3	34
93	40	8	41
69	93	32	43
66	7	78	7
23	59	46	9
9	21	20	85
9	70	61	52
29	82	94	69
82	80	81	65
34	59	74	64
25	81	54	17
36	8	35	80
54	67	74	89
37	99	44	99
58	13	21	99
54	65	20	24
62	30	64	55
38	39	50	93
86	41	45	16
79	54	31	54
5	94	41	2
29	63	4	17
82	57	42	69
82	7	92	37
54	23	96	25
86	9	50	85
20	57	54	5
46	13	93	34
50	25	62	99
29	75	66	97
10	15	13	2
6	16	96	27
13	14	7	1
53	85	91	28
77	96	32	73
21	65	73	43
47	9	3	11
78	50	86	29
39	77	42	1
73	85	4	13
39	7	5	99
9	99	46	74
100	33	9	65
69	24	31	96
2	31	98	10
8	93	95	10
51	24	23	47
27	99	97	26
27	37	89	22
13	46	65	5
6	72	56	30
86	9	86	12
73	25	31	17
57	74	83	69
3	19	9	10
64	86	51	100
84	52	61	71
64	64	62	61
29	82	87	68
63	87	92	37
52	79	4	18
78	6	21	90
27	93	11	22
7	49	1	19
84	51	59	81
37	16	65	64
70	20	29	75
77	49	32	93
53	32	95	76
9	37	62	91
41	3	92	31
39	76	57	93
48	87	32	84
65	30	5	8
25	90	11	3
12	81	16	43
65	18	42	77
55	30	34	99
4	90	96	72
29	59	41	94
95	2	98	85
76	77	30	7
29	46	91	11
40	59	75	18
76	100	51	58
81	99	72	79
2	77	68	82
68	71	61	14
4	6	27	49
45	95	24	33
9	35	12	89
20	93	72	2
31	99	8	30
49	6	14	54
97	69	71	53
4	76	7	92
47	31	35	57
90	65	80	46
30	24	69	27
64	88	32	10
94	73	40	80
79	69	89	63
66	7	90	83
17	84	38	94
66	18	52	1
97	41	92	62
2	5	20	71
48	63	17	25
82	7	32	98
10	12	39	83
43	20	67	52
7	99	3	11
46	36	28	51
55	100	22	65
13	22	98	91
79	43	100	47
66	66	54	16
34	59	100	8
92	46	39	100
22	16	73	23
10	66	28	70
84	55	76	66
17	26	68	30
10	99	82	38
21	79	57	60
58	52	100	19
21	100	83	95
9	64	59	17
3	78	100	57
37	80	32	42
16	99	30	90
90	24	91	94
87	35	6	12
42	63	31	11
35	29	77	60
4	7	47	30
27	85	24	13
79	50	57	19
6	87	59	75
6	31	38	87
33	53	32	32
2	68	85	21
26	14	78	46
66	98	70	41
83	82	57	53
47	52	43	93
59	79	24	98
61	32	77	3
97	89	53	97
19	23	33	96
63	99	46	14
64	54	76	67
94	53	3	20
30	55	18	11
91	20	81	42
28	38	80	99
25	77	89	34
20	27	14	11
39	46	46	80
29	36	66	66
22	40	94	42
30	98	70	12
41	6	72	53
86	14	72	19
70	58	52	34
56	11	31	22
11	32	66	43
49	8	99	12
90	34	83	44
29	29	60	96
17	9	83	28
29	65	81	80
73	92	76	6
36	58	32	63
76	76	45	17
77	92	71	4
56	5	69	4
73	7	48	26
80	70	70	41
77	100	56	5
86	48	70	57
28	32	99	28
39	20	87	25
94	85	79	50
63	67	11	10
51	79	33	36
11	25	6	8
15	32	32	52
50	45	21	99
66	42	2	48
89	3	45	54
47	13	46	38
35	52	24	79
36	88	76	82
79	59	69	96
11	45	28	93
73	86	87	37
69	10	67	74
67	38	42	48
36	73	10	2
84	79	36	33
37	56	31	97
36	47	78	71
7	41	79	25
57	55	45	91
26	2	62	23
85	87	67	49
52	20	63	74
92	62	4	54
53	76	47	84
10	32	86	59
71	2	11	23
29	24	35	89
46	19	77	18
76	72	48	34
8	36	94	73
89	14	99	40
74	79	34	34
72	52	28	98
24	90	17	44
66	45	64	70
83	51	66	75
84	46	70	26
33	3	33	58
18	45	100	95
95	65	72	8
17	42	21	15
65	62	63	54
67	86	80	62
89	77	98	61
78	56	91	72
32	90	46	37
86	16	74	56
48	23	38	29
25	46	98	54
50	79	11	95
62	40	51	1
24	90	78	3
84	51	72	44
83	81	61	50
94	66	83	19
12	86	70	92
31	84	98	79
40	47	1	82
56	31	23	28
5	79	91	98
61	27	36	89
62	61	4	80
54	32	89	65
80	41	41	85
72	9	5	74
69	21	8	96
62	82	8	50
84	17	5	12
40	88	97	16
38	2	22	6
67	15	94	97
55	64	99	3
26	99	5	21
99	53	76	15
17	6	68	58
83	100	100	39
97	1	62	99
52	28	23	54
77	33	81	10
6	27	4	61
65	93	48	80
74	55	1	40
27	46	37	95
91	72	92	65
85	48	85	100
11	43	64	41
57	67	86	28
14	54	11	66
57	41	80	49
4	33	51	99
79	37	67	50
58	13	27	85
97	11	42	45
55	97	1	34
38	25	10	56
44	85	19	19
8	70	69	52
46	25	57	87
12	43	52	57
77	58	63	80
75	19	83	33
88	50	58	17
59	4	35	96
91	90	7	56
7	62	70	83
46	45	9	20
5	81	78	87
99	99	56	69
15	9	39	5
41	78	94	16
81	18	100	41
55	15	99	12
77	73	25	21
14	83	71	31
76	89	66	90
51	34	43	43
45	33	58	98
95	92	22	38
44	93	22	68
12	57	42	34
76	68	14	21
24	29	94	84
5	99	10	1
12	44	93	78
86	97	100	19
32	83	84	13
40	89	79	28
98	82	38	53
34	6	79	41
91	84	53	69
82	39	13	13
82	45	44	56
85	33	13	92
79	48	76	4
85	87	94	61
94	26	3	17
17	43	30	54
55	33	58	21
29	73	99	79
57	66	83	74
41	72	64	68
84	81	57	16
67	67	95	20
14	97	39	42
39	24	22	9
23	49	69	50
90	35	81	15
26	5	26	96
97	16	24	73
27	36	90	91
88	5	14	10
4	13	94	71
86	36	76	64
62	85	58	3
90	60	35	17
41	58	19	47
70	21	45	18
74	3	79	54
23	14	95	50
53	59	52	71
64	88	6	12
23	72	37	72
27	97	96	67
87	90	14	5
49	89	41	88
20	21	27	43
28	79	6	81
45	81	65	25
54	98	8	42
35	11	22	42
45	82	5	95
47	18	54	28
31	15	8	80
36	34	32	41
42	8	97	50
14	44	97	22
34	76	12	91
74	75	99	5
62	93	16	95
74	6	12	25
79	74	21	19
54	86	14	23
45	96	1	3
94	15	60	15
42	78	23	51
40	61	5	67
63	67	96	88
82	63	28	99
51	13	27	36
91	72	24	60
73	98	42	67
34	37	23	71
61	97	21	52
30	13	71	9
99	65	68	28
74	21	33	56
79	42	41	82
12	85	43	70
59	29	61	95
84	74	56	23
43	2	70	79
30	28	87	43
76	49	25	81
77	92	36	48
16	40	11	30
48	52	29	30
8	47	1	25
2	26	2	40
39	82	38	25
60	38	50	18
48	49	21	8
85	84	14	3
78	91	4	34
33	52	99	40
68	24	2	9
35	34	100	17
36	14	79	68
1	72	23	12
81	50	76	18
55	73	8	51
25	19	27	75
84	85	65	20
79	82	32	45
39	63	94	45
43	24	15	13
73	52	83	88
78	58	22	37
53	80	77	8
68	75	92	88
80	63	20	3
82	46	95	92
89	51	3	4
76	64	60	77
54	71	34	85
51	38	54	14
3	63	10	25
68	11	35	99
79	57	3	95
66	27	92	21
68	23	20	61
88	91	4	77
24	57	82	45
33	16	26	28
24	13	53	17
6	70	97	45
4	27	98	53
96	70	21	91
62	50	71	83
97	65	46	18
76	71	8	35
96	33	40	85
93	87	33	90
8	72	9	5
40	6	75	77
50	79	45	26
35	88	20	51
54	54	76	47
87	43	87	37
41	39	45	21
84	59	6	3
34	65	57	78
77	93	87	84
7	32	70	54
4	8	19	53
62	26	67	11
84	75	4	92
80	84	48	33
62	4	90	48
53	77	44	24
75	25	99	88
79	26	30	82
40	1	92	81
65	63	95	10
35	3	65	69
69	65	9	10
23	25	100	95
91	17	3	74
61	99	89	1
21	45	12	1
21	52	57	32
89	3	83	10
84	70	34	83
38	50	15	58
14	46	71	75
77	5	24	72
16	58	45	22
52	63	81	59
92	65	7	92
54	41	74	27
61	23	36	9
48	73	12	31
54	96	53	63
60	5	58	97
33	24	96	84
82	9	95	25
48	50	29	35
5	35	96	35
17	6	84	3
86	62	46	67
58	43	99	84
6	49	49	34
52	28	48	50
79	7	70	23
93	11	47	47
29	85	65	100
55	20	4	58
67	67	27	80
2	73	35	33
39	57	41	82
71	5	63	34
8	17	11	86
19	15	96	8
72	48	68	17
28	63	50	41
45	30	68	91
37	64	58	100
96	44	90	4
99	10	46	8
2	57	7	52
90	58	50	27
86	72	10	94
2	63	48	78
58	68	80	4
36	97	29	51
95	79	44	85
81	11	49	28
71	71	92	45
9	65	70	87
67	93	86	36
80	44	52	26
19	36	7	35
62	76	14	20
50	15	82	8
13	75	93	67
14	56	62	66
48	32	11	62
23	33	80	3
47	6	66	47
85	69	43	45
87	1	48	98
80	66	98	99
14	44	8	42
93	45	80	51
100	35	75	14
32	98	92	84
23	91	42	49
30	99	44	14
1	15	29	42
7	61	81	43
64	37	23	21
67	57	13	21
4	38	18	82
26	73	16	27
58	55	65	70
10	56	67	88
58	50	90	8
40	6	52	17
