295	265	256	26	16
167	131	190	85	287
92	66	291	101	23
196	205	55	166	51
91	45	280	289	289
206	210	160	31	201
145	117	161	114	167
64	267	215	247	6
181	226	2	242	184
262	66	86	235	106
250	242	159	78	148
171	294	290	4	180
27	4	116	129	209
287	76	72	298	237
207	68	202	270	175
180	92	283	122	13
193	153	131	178	120
151	30	300	292	92
104	29	181	277	22
93	296	82	144	290
61	282	151	147	204
36	177	195	180	160
136	192	97	292	43
50	242	209	202	171
239	201	166	290	120
12	132	173	137	145
34	228	187	15	111
280	42	99	273	210
256	267	71	300	76
154	20	80	262	159
167	82	131	269	40
233	300	267	71	187
162	191	237	252	279
204	52	224	116	219
121	175	99	3	127
294	261	247	15	45
218	72	89	192	42
192	292	247	70	133
8	169	158	285	141
16	260	185	28	71
113	201	106	217	300
195	155	156	199	199
98	239	265	115	187
74	118	180	55	83
133	211	31	82	80
67	165	127	49	100
207	42	49	267	210
278	31	37	138	42
112	171	244	129	286
183	173	47	34	231
179	111	261	265	239
294	151	173	273	174
48	65	290	280	68
29	290	169	250	121
8	219	57	156	171
133	138	45	102	135
77	204	274	24	33
227	102	172	218	278
214	160	292	162	248
214	15	250	25	18
2	48	100	49	204
17	167	212	34	145
55	143	174	44	260
149	245	22	5	189
217	63	168	199	249
90	268	21	167	185
213	188	48	82	27
256	55	59	276	116
256	118	19	26	123
172	193	91	178	39
278	171	233	272	94
87	15	266	25	224
68	50	213	160	52
193	124	62	236	17
32	284	170	224	151
292	96	42	138	205
127	160	111	85	15
120	269	34	114	234
245	173	274	121	69
276	67	19	239	99
167	13	134	108	24
181	186	72	83	112
267	186	43	284	233
47	52	192	62	157
258	204	82	94	41
55	249	16	222	18
150	261	275	215	67
16	172	203	191	13
209	57	100	175	131
38	294	97	163	230
234	231	205	212	197
37	284	216	17	293
28	285	229	33	161
277	21	143	34	299
230	224	3	164	185
292	282	180	79	230
273	300	174	19	80
104	152	157	189	87
43	221	173	113	51
76	196	205	279	7
272	146	186	98	131
293	63	147	273	64
277	160	107	33	168
251	75	173	95	50
269	235	49	56	107
258	32	282	31	158
47	169	61	45	293
169	200	162	41	258
183	259	175	24	100
80	53	13	90	240
122	139	36	153	184
140	85	275	47	104
221	181	252	124	190
257	198	252	268	3
79	121	130	61	196
214	241	197	159	249
125	288	271	177	91
209	60	275	132	62
244	291	229	132	38
282	211	22	73	297
211	286	297	208	262
206	135	173	85	144
181	137	156	42	245
164	109	43	169	62
9	266	147	182	230
110	26	299	256	120
154	164	226	38	240
57	56	181	156	113
291	291	41	8	75
31	265	283	52	168
155	122	244	28	53
20	3	271	282	200
253	215	53	297	53
21	241	297	190	16
101	150	180	179	70
93	51	96	95	110
209	145	270	53	254
146	62	23	33	172
162	42	135	54	275
274	154	5	178	211
110	208	179	190	31
173	297	206	58	280
84	212	202	145	157
64	272	20	210	63
61	53	173	32	85
103	10	214	233	234
22	119	28	9	36
98	35	132	280	3
113	191	117	283	4
237	145	53	59	117
224	103	295	270	28
221	72	212	190	48
106	191	86	245	225
58	123	133	89	122
1	77	141	22	75
220	206	290	172	237
38	94	192	240	40
68	248	52	172	297
209	164	10	280	171
86	298	67	103	294
42	96	295	120	57
288	18	170	202	67
179	258	218	114	249
292	45	66	54	240
216	121	180	138	39
15	227	297	86	66
195	190	172	184	255
80	289	51	121	47
253	152	198	92	82
278	292	67	106	107
214	279	222	233	7
