42	100	3	87	2	6	98	19	1	48	59	99	91	33	96
15	32	6	94	38	32	74	16	85	7	14	31	4	35	93
84	25	59	24	90	25	96	52	8	21	25	3	58	72	6
43	38	54	81	37	35	24	98	94	14	62	86	75	47	57
6	62	69	56	84	50	89	99	8	18	47	57	38	100	63
55	36	34	12	93	77	45	44	84	56	8	25	29	57	60
84	35	31	66	21	94	80	52	8	62	55	21	48	69	76
10	77	83	82	35	5	24	12	35	35	72	57	34	49	88
3	16	96	78	51	92	91	67	79	81	97	26	83	73	37
36	95	25	46	91	84	33	82	98	53	8	70	52	39	63
6	59	11	11	6	13	83	20	39	65	53	68	4	55	34
27	60	15	42	15	24	12	57	20	9	1	79	29	46	60
47	52	94	76	42	38	8	24	31	8	61	24	89	52	16
92	21	56	57	61	68	41	29	11	62	2	38	27	97	56
77	32	95	53	4	95	72	28	69	7	41	89	39	67	12
