15	20	13
13	13	15
17	14	4
6	2	16
9	14	6
16	13	18
8	4	12
12	12	14
10	3	1
19	8	13
19	20	18
2	14	18
20	10	1
18	2	18
15	18	10
1	18	10
14	16	13
19	2	12
12	10	6
5	15	2
20	6	12
11	18	14
6	8	18
1	14	2
12	7	18
17	19	20
13	20	15
18	11	3
18	1	17
3	7	3
11	4	8
14	16	6
16	4	18
7	2	5
13	13	7
10	18	14
17	15	16
11	3	3
9	9	11
5	7	12
20	12	2
19	1	19
3	1	9
6	9	6
14	3	4
18	13	8
20	6	2
3	6	14
19	8	6
8	2	11
9	14	7
14	17	4
2	14	15
17	15	8
6	13	12
3	3	15
16	9	4
12	11	19
5	18	14
16	8	9
9	8	19
11	1	7
1	4	17
9	1	16
3	1	12
6	16	11
8	12	19
19	12	15
20	13	17
15	18	15
8	15	17
12	9	6
20	18	20
2	19	9
13	6	14
11	5	18
3	13	16
20	5	17
15	11	17
3	12	5
5	2	5
10	18	7
13	19	16
5	19	4
18	2	4
11	16	13
19	10	3
19	9	17
3	7	16
18	13	15
20	16	10
19	11	13
11	1	9
9	11	15
12	17	3
20	13	19
8	12	4
15	11	3
3	7	4
17	16	19
14	9	13
10	5	20
6	14	18
18	11	19
11	7	4
6	8	13
20	17	7
15	6	3
20	1	10
3	15	13
14	12	16
4	13	9
19	14	8
17	4	10
17	15	20
3	7	1
10	8	12
7	11	10
16	17	11
20	19	9
4	14	8
5	13	13
20	4	3
1	12	16
9	13	7
5	4	14
7	3	7
4	14	19
6	8	8
16	6	20
6	10	8
4	10	5
12	20	8
3	12	7
5	17	17
4	6	2
9	11	2
4	6	13
4	15	10
11	15	9
12	16	17
9	10	18
6	18	14
1	8	3
19	13	15
6	16	16
15	8	18
6	14	3
6	2	3
17	2	16
13	5	17
5	16	10
17	14	9
4	14	4
5	15	12
1	3	10
3	15	6
5	20	20
14	2	12
11	12	3
9	5	3
7	18	14
1	14	3
10	12	6
13	17	18
18	5	11
18	2	8
10	11	10
4	5	6
3	20	16
4	3	18
6	20	2
4	12	2
1	13	4
14	17	20
16	8	13
5	7	18
4	15	20
17	10	5
14	12	2
10	10	6
10	12	8
3	12	17
1	15	19
2	15	2
11	14	8
17	4	18
16	10	17
12	1	18
9	11	14
3	5	6
8	19	14
11	15	7
8	12	2
20	1	11
10	3	14
13	20	15
16	2	19
16	19	13
20	3	3
2	5	3
7	8	16
14	9	18
8	8	20
20	7	8
12	9	16
15	16	6
9	15	17
16	11	6
8	12	1
10	13	14
12	1	14
5	9	7
17	9	14
14	3	14
16	7	18
20	12	13
6	20	17
14	16	5
2	19	10
3	12	18
10	2	2
8	20	8
12	7	11
10	1	7
6	9	12
18	12	3
3	3	5
6	3	1
10	20	1
2	6	11
15	15	19
9	8	7
2	13	3
16	20	11
11	20	18
16	4	1
17	18	7
20	13	3
2	17	20
1	5	8
1	14	4
10	4	6
17	10	8
12	17	9
17	18	1
1	15	14
11	10	3
3	5	7
4	16	11
1	18	8
10	11	19
20	4	17
5	2	11
13	9	10
9	3	10
6	9	7
12	20	4
20	10	1
19	4	6
13	17	13
1	14	3
6	12	7
16	2	1
18	14	11
12	7	19
17	7	9
3	15	5
14	17	9
6	19	10
4	10	18
17	3	6
8	9	16
19	15	20
4	7	5
2	15	7
10	15	12
1	4	15
18	12	18
10	13	6
20	3	7
6	14	11
7	8	7
15	20	8
7	1	15
13	1	19
5	12	12
15	19	20
13	3	7
2	15	18
15	12	20
16	9	6
4	1	18
17	12	4
10	13	14
17	4	2
11	14	20
2	10	15
3	20	7
6	6	15
13	19	20
14	6	17
7	10	9
16	12	17
5	8	9
1	15	18
10	20	4
1	5	13
17	9	13
9	10	16
20	12	4
3	4	12
12	13	2
1	11	9
6	3	13
7	3	19
18	17	5
15	13	10
2	8	10
4	3	14
14	9	14
15	5	16
18	19	2
17	6	19
3	2	12
20	20	19
6	16	3
1	6	18
