24	165
105	46
165	157
49	86
118	91
181	175
21	86
147	106
160	97
81	195
158	90
85	187
152	49
75	60
139	133
79	46
111	200
164	143
161	173
114	135
168	170
34	77
139	127
172	146
108	47
165	164
23	113
23	85
50	84
191	108
83	56
71	170
107	142
122	85
80	45
143	195
196	137
199	47
117	104
169	107
92	48
147	165
35	50
58	108
112	199
41	189
46	66
171	55
151	65
30	190
86	84
113	146
54	161
164	101
155	195
118	48
71	131
21	195
68	75
49	148
88	33
101	124
127	170
112	178
195	66
110	135
82	168
142	171
113	45
40	76
106	157
87	134
120	114
104	56
123	160
118	61
37	129
190	141
165	156
25	145
129	110
154	66
88	81
128	89
17	65
75	104
70	91
133	113
31	155
30	53
138	63
140	58
140	110
49	197
39	86
22	82
183	121
72	40
145	195
58	135
22	50
53	57
59	42
61	70
167	187
183	44
142	123
31	114
130	69
164	163
27	89
116	150
142	103
77	164
119	140
86	143
177	62
117	150
133	172
193	107
170	63
47	83
64	76
50	51
109	61
16	200
107	156
29	177
29	34
200	172
27	187
181	195
197	194
41	79
116	122
187	181
35	31
189	56
38	181
36	86
183	113
79	130
68	191
58	116
157	86
38	66
54	173
187	145
142	122
45	180
66	150
172	47
65	106
30	83
82	120
52	193
59	157
118	39
154	101
40	125
78	72
181	163
104	91
162	149
167	150
74	105
110	59
199	103
177	170
132	81
62	85
69	33
151	195
71	126
69	101
96	48
48	80
136	170
63	114
111	163
134	192
28	167
110	72
65	178
47	143
72	98
113	96
73	161
120	134
158	53
138	72
43	166
70	79
55	84
33	152
187	56
33	125
71	176
67	154
24	110
174	68
27	155
104	102
95	113
23	110
194	155
124	149
111	83
177	119
150	126
157	121
191	88
144	99
109	160
124	129
104	148
65	173
130	183
23	112
91	143
175	172
83	148
78	188
193	115
57	70
111	132
96	155
150	87
149	63
193	142
149	184
102	138
195	171
16	197
164	70
183	153
128	188
155	72
149	118
192	198
75	63
27	87
42	193
164	151
26	41
179	101
121	112
151	33
187	156
76	138
69	78
118	79
199	107
20	109
162	34
161	97
127	175
123	184
90	181
67	87
168	56
41	182
78	96
84	140
159	187
28	175
181	83
58	174
55	121
67	192
178	170
122	194
150	85
106	72
188	126
15	120
87	78
111	113
148	96
32	96
179	115
83	123
90	172
131	170
48	132
108	74
57	153
161	35
175	110
46	121
69	134
104	101
57	34
187	107
29	58
49	199
186	84
85	84
133	62
83	139
54	91
36	113
38	112
16	62
105	41
179	56
79	95
83	166
53	84
146	100
37	42
158	125
51	97
48	87
123	62
196	133
156	137
49	111
170	191
16	194
110	118
167	81
183	164
33	54
183	106
65	54
72	36
165	113
56	96
137	61
94	43
15	72
179	160
144	72
176	89
24	128
55	108
114	111
124	198
81	45
109	112
94	79
181	196
160	192
90	40
39	89
151	52
180	108
145	74
22	98
88	131
121	110
86	147
40	41
129	181
176	100
100	31
77	49
120	114
77	118
73	188
141	140
91	150
140	177
110	85
126	189
90	160
93	158
189	74
95	42
74	40
81	39
189	58
39	71
103	171
172	94
113	135
188	194
45	178
119	76
27	133
94	75
137	131
45	106
28	154
185	130
94	135
54	180
113	197
146	52
188	148
120	184
30	79
131	76
136	134
23	193
155	163
75	117
42	71
151	134
83	54
45	31
151	134
136	58
159	104
22	164
17	122
51	176
109	149
171	188
141	170
16	41
144	126
110	196
87	152
28	124
124	65
148	142
176	171
123	90
70	139
95	145
151	101
89	117
175	100
75	175
126	137
50	99
170	75
115	192
142	189
74	135
62	38
131	69
198	54
91	142
53	66
187	180
175	127
53	121
128	110
152	119
112	116
200	61
166	101
198	121
128	48
180	43
58	143
33	116
146	115
130	182
30	173
179	137
71	88
37	196
32	52
122	181
153	118
198	159
145	126
76	127
46	134
75	173
108	186
76	115
88	54
188	37
134	60
134	173
120	110
62	37
138	134
197	154
22	133
55	41
162	114
57	73
82	179
129	198
155	58
189	171
61	59
85	130
139	76
103	165
176	91
143	71
109	67
80	111
79	103
89	148
17	40
108	148
66	149
22	74
118	131
129	102
132	135
123	33
94	65
47	161
89	182
125	157
187	106
149	81
38	188
186	161
95	153
182	71
43	194
74	181
107	69
33	71
99	145
122	180
53	123
85	162
71	67
59	44
160	196
68	105
148	159
64	160
43	193
35	120
168	128
17	157
83	177
153	71
29	188
57	75
125	163
31	156
82	179
31	92
115	56
57	169
92	119
195	142
142	57
