54	36	59	27	66	29
53	42	55	40	62	45
35	49	44	51	53	53
1	60	11	54	16	56
47	62	54	65	57	69
55	54	65	50	72	56
7	52	17	61	19	61
30	36	35	33	45	37
2	57	5	47	7	52
68	31	73	36	83	32
63	65	69	71	74	79
14	43	18	52	19	57
44	41	47	36	48	38
64	49	67	54	68	51
37	38	39	30	41	20
21	53	27	54	35	62
25	31	27	38	37	31
53	67	59	64	67	62
28	44	29	54	35	54
9	66	17	70	24	66
50	39	58	35	66	41
32	32	42	33	44	29
21	49	29	55	36	55
16	41	22	49	26	55
11	42	13	36	22	36
49	70	50	60	57	54
22	43	27	52	29	51
29	32	38	39	56	53
34	68	36	66	40	76
21	60	29	57	33	63
43	50	51	55	61	51
64	68	66	78	68	74
52	39	55	37	56	33
53	56	59	57	66	55
40	31	41	34	46	36
64	34	66	28	71	35
70	36	80	40	85	42
40	50	45	59	48	59
60	64	62	57	65	66
24	67	25	63	33	68
58	35	62	21	64	14
69	61	75	53	81	43
6	32	16	25	24	33
26	32	27	42	36	43
17	32	18	24	22	33
52	44	56	49	63	40
7	43	8	37	11	27
20	36	29	30	47	18
58	61	59	54	63	44
53	58	59	68	61	60
25	59	31	57	33	64
20	60	30	66	36	66
68	67	70	76	75	77
69	30	72	39	79	37
28	38	29	37	31	38
40	31	45	39	46	43
2	63	10	65	14	66
55	61	59	52	66	53
27	58	31	57	36	55
62	51	72	47	76	56
29	66	36	56	41	63
67	38	76	36	78	37
44	51	54	55	60	54
61	53	62	53	69	47
35	47	36	50	42	54
63	39	64	36	72	42
35	45	36	43	45	47
1	62	8	57	13	67
22	62	28	63	35	57
55	50	63	49	72	41
21	66	24	71	31	75
14	60	15	57	21	51
45	34	50	34	58	24
32	32	41	34	47	39
61	31	71	35	77	45
63	64	69	69	72	73
3	35	5	27	6	24
29	34	39	27	40	25
59	31	61	38	71	41
50	67	57	64	60	55
18	48	26	53	30	44
65	54	70	52	74	62
66	50	72	49	78	57
57	42	66	33	67	30
16	62	24	58	27	57
46	61	51	54	55	60
32	53	37	62	44	54
29	55	38	61	40	61
10	39	17	38	25	32
56	35	57	39	63	45
52	41	55	37	57	41
53	47	55	44	58	42
13	33	19	40	29	36
39	52	47	52	53	62
31	35	34	38	38	47
24	33	29	37	38	36
56	52	57	50	66	56
3	52	12	54	17	53
50	51	58	44	66	36
22	66	29	62	34	58
1	36	3	43	7	57
53	30	60	22	68	15
28	53	32	44	41	44
45	52	52	52	53	48
34	56	39	47	43	47
3	46	11	52	17	46
49	61	56	60	62	56
53	30	60	39	70	35
33	32	40	26	46	28
26	46	27	41	35	39
12	41	15	38	18	28
55	52	56	61	57	70
52	56	60	49	65	42
40	43	42	44	44	45
12	43	20	45	24	52
39	53	40	50	48	53
20	57	24	59	30	59
38	59	43	68	53	69
57	64	62	69	65	72
44	46	49	54	57	47
12	67	17	69	26	76
62	63	68	58	74	68
43	47	50	50	53	50
52	50	59	55	69	46
19	61	26	64	30	68
56	35	60	32	68	26
65	31	75	30	82	34
1	70	10	65	15	68
30	47	38	54	47	60
44	31	53	34	56	30
57	42	61	37	67	44
50	63	52	70	56	62
20	41	25	44	35	50
67	45	70	45	74	54
22	70	24	77	29	75
15	57	21	47	31	54
50	54	56	44	62	47
24	61	28	71	34	61
31	70	49	62	58	58
37	59	42	57	46	66
31	54	37	52	41	59
18	61	26	60	35	55
69	38	77	45	87	42
54	58	61	62	65	71
69	40	71	40	77	33
51	47	61	48	68	52
47	37	51	28	55	34
37	47	43	48	49	56
64	30	72	34	82	43
37	39	47	34	49	42
56	40	59	35	66	31
37	30	44	22	46	29
58	70	68	69	72	67
30	60	39	67	47	73
67	38	75	30	85	37
12	67	15	72	21	73
1	62	7	60	13	58
50	39	60	45	69	45
26	50	31	49	41	50
40	62	49	72	52	82
47	33	54	38	62	45
30	68	34	66	41	75
51	46	61	45	66	40
47	70	56	67	57	71
16	53	22	60	24	60
11	32	12	22	19	20
39	41	40	50	47	48
27	62	33	69	41	69
7	60	11	70	13	60
26	51	33	45	37	38
25	62	29	63	38	69
50	46	55	38	58	33
56	45	66	52	76	59
5	42	13	33	18	30
14	60	19	65	22	59
3	30	5	26	9	18
63	45	73	54	77	63
27	53	34	56	36	53
35	31	37	28	41	28
65	69	70	73	73	64
56	61	66	65	72	61
49	70	57	63	63	66
43	54	51	51	60	51
1	57	10	63	14	60
29	35	32	45	41	44
56	55	66	57	67	52
4	62	6	68	15	70
27	44	31	40	37	39
8	36	17	42	27	51
60	57	62	53	64	43
68	63	76	70	79	68
61	51	71	61	79	69
55	42	62	32	63	35
34	32	50	40	58	44
14	35	24	35	31	37
30	51	36	51	40	42
17	56	27	63	30	54
6	44	12	39	14	37
34	61	35	53	44	53
52	64	57	69	59	59
18	69	20	71	30	64
59	62	69	61	72	56
54	51	57	43	59	34
55	48	59	57	65	64
57	35	58	35	59	30
29	38	36	45	39	47
67	55	74	58	81	61
68	43	71	46	81	55
33	51	42	55	46	51
3	57	12	66	15	56
26	42	32	38	42	38
58	64	65	59	69	63
34	37	39	38	41	37
63	63	73	60	83	68
20	46	28	48	31	38
1	70	5	72	10	69
48	33	52	36	59	37
35	32	40	33	46	35
34	31	44	31	51	26
30	33	37	34	44	35
15	59	25	58	27	56
53	41	61	35	65	41
26	57	27	63	32	53
67	62	69	63	70	56
70	30	71	25	81	20
23	48	24	44	26	54
